t,trade_side,trade_px,mid_pre,mid_post,realized_spread,adverse_selection
44479,1,64.7972101217022,64.84721012170219,64.81956124065988,0.022351118957686822,0.027648881042310336
44489,-1,64.91990730493578,64.86990730493578,64.88561094343135,0.03429636150443116,0.015703638495565997
44497,-1,65.00950276031944,64.95950276031944,64.99271886166203,0.016783898657408258,0.0332161013425889
44506,-1,65.14740639785016,65.09740639785016,65.10628468942332,0.04112170842684293,0.008878291573154229
44511,1,65.07209483669874,65.12209483669874,65.12319882962139,0.051103992922648445,-0.0011039929226512868
44512,-1,65.17319882962138,65.12319882962139,65.1536018514645,0.019596978156883438,0.03040302184311372
44513,-1,65.2036018514645,65.1536018514645,65.1791139565921,0.024487894872393667,0.02551210512760349
44516,-1,65.27163843882094,65.22163843882095,65.20002946657854,0.07160897224240159,-0.021608972242404434
44517,1,65.15002946657854,65.20002946657854,65.22473142008486,0.07470195350632025,-0.024701953506323093
44521,-1,65.36215659768243,65.31215659768243,65.31635361495411,0.0458029827283184,0.00419701727167876
44536,1,65.50717054988495,65.55717054988494,65.58017014130229,0.07299959141734291,-0.022999591417345755
44539,1,65.56172053426383,65.61172053426382,65.58989411022888,0.028173575965055875,0.021826424034941283
44541,-1,65.6960673400841,65.6460673400841,65.64953121170326,0.04653612838083632,0.003463871619160841
44547,1,65.61037959357121,65.66037959357121,65.64491082710549,0.034531233534281114,0.015468766465716044
44549,-1,65.70578509806337,65.65578509806338,65.6717754971279,0.03400960093547667,0.01599039906452049
44553,-1,65.763896003488,65.713896003488,65.735144278494,0.028751724993995253,0.021248275006001904
44573,1,65.78414321803277,65.83414321803276,65.84279833201008,0.05865511397730927,-0.008655113977312112
44574,-1,65.89279833201007,65.84279833201008,65.83189582305472,0.06090250895535121,-0.010902508955354051
44577,1,65.80721352454971,65.8572135245497,65.87197926973577,0.06476574518606526,-0.014765745186068102
44579,-1,65.90152773159535,65.85152773159535,65.8655927220341,0.03593500956125695,0.01406499043874021
